epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,426.796,0.55206,0.3554,0.3425,0.00511,0.28292,0.9448,0.96296,0.97487,0.93319,0.9448,0.96296,0.97487,0.85968,0.33695,0.28142,0.24378,0.00421,0,0.000609125,0.000609125,0.000609125
65,433.196,0.53248,0.36021,0.34358,0.00497,0.31675,0.95387,0.94017,0.96973,0.92434,0.95387,0.94017,0.96973,0.86094,0.33881,0.28128,0.27025,0.00459,0,0.000606587,0.000606587,0.000606587
66,439.708,0.507,0.31646,0.31899,0.00491,0.22616,0.95219,0.96398,0.97241,0.93497,0.95219,0.96398,0.97241,0.86054,0.33707,0.28392,0.25905,0.00586,0,0.00060405,0.00060405,0.00060405
67,446.143,0.48683,0.30533,0.34287,0.00476,0.25314,0.93142,0.95921,0.97286,0.92168,0.93142,0.95921,0.97286,0.85867,0.38644,0.2785,0.31499,0.00701,0,0.000601512,0.000601512,0.000601512
68,452.602,0.50166,0.34082,0.36483,0.00486,0.3474,0.95954,0.93335,0.97203,0.9306,0.95954,0.93335,0.97203,0.8682,0.35398,0.27294,0.24702,0.00614,0,0.000598974,0.000598974,0.000598974
69,459.141,0.48468,0.33558,0.3244,0.00416,0.16333,0.93672,0.96594,0.97381,0.93282,0.93672,0.96594,0.97381,0.86851,0.35741,0.28198,0.24802,0.00514,0,0.000596436,0.000596436,0.000596436
70,465.645,0.49706,0.35956,0.34371,0.00539,0.34022,0.96078,0.92822,0.96944,0.93427,0.96078,0.92822,0.96944,0.84087,0.3093,0.27242,0.24389,0.00495,0,0.000593899,0.000593899,0.000593899
71,472.1,0.49643,0.32323,0.39173,0.00489,0.37055,0.97264,0.95712,0.97693,0.92796,0.97264,0.95712,0.97693,0.84295,0.36152,0.27561,0.22894,0.00563,0,0.000591361,0.000591361,0.000591361
72,478.441,0.463,0.35221,0.31923,0.00448,0.28805,0.9702,0.93064,0.97436,0.93082,0.9702,0.93064,0.97436,0.8605,0.32089,0.26375,0.23005,0.00556,0,0.000588823,0.000588823,0.000588823
73,484.823,0.47326,0.3136,0.30533,0.00458,0.2271,0.95834,0.97,0.97627,0.93678,0.95834,0.97,0.97627,0.86881,0.34353,0.25226,0.21627,0.00549,0,0.000586286,0.000586286,0.000586286
74,491.426,0.48131,0.31979,0.28231,0.00456,0.25069,0.96348,0.96083,0.9786,0.93984,0.96348,0.96083,0.9786,0.85504,0.34136,0.26445,0.19655,0.00582,0,0.000583748,0.000583748,0.000583748
75,497.867,0.47867,0.40568,0.49274,0.00524,0.4611,0.96338,0.95537,0.97557,0.93851,0.96338,0.95537,0.97557,0.87234,0.31093,0.26452,0.21024,0.00515,0,0.00058121,0.00058121,0.00058121
76,504.46,0.43969,0.37836,0.27401,0.00446,0.27404,0.95261,0.94625,0.97046,0.94021,0.95261,0.94625,0.97046,0.86043,0.30071,0.26556,0.23561,0.00472,0,0.000578672,0.000578672,0.000578672
77,510.79,0.45797,0.30506,0.29627,0.00429,0.19117,0.9639,0.93611,0.96721,0.93477,0.9639,0.93611,0.96721,0.83222,0.29844,0.26097,0.24721,0.00414,0,0.000576135,0.000576135,0.000576135
78,517.177,0.48114,0.32169,0.2877,0.00507,0.26169,0.95846,0.94472,0.97102,0.94049,0.95846,0.94472,0.97102,0.86342,0.32564,0.28112,0.25678,0.00453,0,0.000573597,0.000573597,0.000573597
79,523.624,0.44628,0.32498,0.29249,0.0045,0.21792,0.97051,0.92523,0.97261,0.94318,0.97051,0.92523,0.97261,0.86126,0.31199,0.27142,0.23226,0.00482,0,0.000571059,0.000571059,0.000571059
80,530.033,0.47668,0.40139,0.27266,0.00453,0.19611,0.94855,0.95785,0.97542,0.95089,0.94855,0.95785,0.97542,0.84175,0.31814,0.25256,0.22309,0.0046,0,0.000568522,0.000568522,0.000568522
81,536.419,0.45611,0.29404,0.28784,0.00439,0.24264,0.95868,0.953,0.98107,0.95452,0.95868,0.953,0.98107,0.85607,0.30588,0.23727,0.19556,0.00423,0,0.000565984,0.000565984,0.000565984
82,542.937,0.44541,0.27209,0.28283,0.00372,0.19277,0.96614,0.96022,0.98393,0.96233,0.96614,0.96022,0.98393,0.87912,0.26491,0.24133,0.15519,0.00377,0,0.000563446,0.000563446,0.000563446
83,549.54,0.4719,0.29945,0.27508,0.00429,0.23525,0.96266,0.94698,0.9869,0.9647,0.96266,0.94698,0.9869,0.88553,0.26305,0.24135,0.15495,0.00383,0,0.000560909,0.000560909,0.000560909
84,556.101,0.47639,0.31834,0.27727,0.00456,0.22064,0.95538,0.98506,0.985,0.96085,0.95538,0.98506,0.985,0.86735,0.30101,0.24063,0.15252,0.0039,0,0.000558371,0.000558371,0.000558371
85,562.529,0.46074,0.36973,0.26714,0.00428,0.2183,0.9577,0.97697,0.98239,0.94922,0.9577,0.97697,0.98239,0.84984,0.31143,0.25233,0.17613,0.00441,0,0.000555833,0.000555833,0.000555833
